HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Monaco,Nantes,15,5,3,1,5,2,6,14,0,0,0,0,1,1,D
Lyon,Brest,17,13,4,8,9,4,10,12,1,1,0,0,0,1,D
Troyes,Paris SG,15,12,7,3,9,1,3,15,1,4,0,0,1,2,A
Rennes,Lens,10,11,2,6,3,9,10,14,0,2,0,0,1,1,D
Bordeaux,Clermont,10,19,6,10,5,10,13,9,1,0,0,0,0,0,A
Nice,Reims,12,5,2,0,4,2,10,8,1,1,0,0,0,0,D
St Etienne,Lorient,20,12,3,3,8,4,10,14,2,3,0,0,0,0,D
Strasbourg,Angers,7,9,1,2,5,4,18,18,2,3,0,0,0,0,A
Metz,Lille,12,18,5,7,4,5,9,10,1,2,1,0,2,1,D
Montpellier,Marseille,8,21,1,7,6,11,10,5,0,1,0,0,2,0,A
Lorient,Monaco,2,12,2,3,0,6,17,15,3,2,0,0,1,0,H
Lille,Nice,11,11,2,7,8,7,9,13,3,1,0,0,0,3,A
Paris SG,Strasbourg,11,8,6,2,4,4,6,18,1,4,0,1,3,0,H
Angers,Lyon,13,8,6,3,6,4,11,17,1,5,0,1,1,0,H
Brest,Rennes,10,6,5,2,6,11,7,16,2,3,0,0,0,0,D
Clermont,Troyes,18,6,8,1,9,2,6,11,1,3,0,1,0,0,H
Nantes,Metz,11,10,7,5,6,6,18,11,2,0,0,0,1,0,H
Reims,Montpellier,19,15,9,5,8,7,11,12,2,1,0,0,2,3,D
Lens,St Etienne,22,12,7,7,7,2,10,17,1,6,0,0,1,1,D
Marseille,Bordeaux,10,8,2,2,3,4,6,11,2,2,1,0,2,0,D
Brest,Paris SG,11,16,3,8,3,9,8,7,1,2,0,0,1,2,A
Monaco,Lens,9,4,2,2,13,3,11,14,1,1,1,1,0,0,A
St Etienne,Lille,10,8,2,6,5,3,14,10,1,3,0,0,0,1,D
Lyon,Clermont,21,17,9,5,5,8,10,6,2,2,0,0,3,1,D
Bordeaux,Angers,14,6,5,3,3,3,19,5,2,0,0,0,1,1,D
Metz,Reims,10,12,4,3,5,8,19,14,4,2,1,1,1,1,D
Montpellier,Lorient,32,5,11,4,5,1,8,13,0,6,0,2,0,1,H
Strasbourg,Troyes,14,10,4,6,6,3,16,17,3,1,0,0,0,1,D
Rennes,Nantes,14,4,5,1,6,2,14,13,2,2,0,0,0,0,H
Nantes,Lyon,18,12,5,5,6,6,7,11,2,2,0,1,0,1,A
Nice,Bordeaux,11,13,5,4,3,0,18,11,3,2,0,0,3,0,H
Marseille,St Etienne,19,11,5,7,5,4,11,18,1,3,0,0,1,1,H
Troyes,Monaco,12,7,3,4,5,3,11,11,1,2,0,0,0,1,A
Angers,Rennes,16,7,4,2,3,1,14,10,1,2,0,1,0,0,H
Clermont,Metz,16,12,4,4,6,3,11,15,1,2,0,0,1,2,D
Lens,Lorient,19,15,9,7,8,4,10,10,2,4,0,0,1,2,D
Strasbourg,Brest,11,11,5,5,1,9,12,10,1,1,0,0,2,1,H
