HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Schalke 04,Hamburg,14,14,8,6,3,5,22,13,2,2,0,0,1,0,A
Darmstadt,Regensburg,9,15,0,6,1,5,25,14,2,0,0,0,0,1,A
Dresden,Ingolstadt,17,9,8,1,5,0,7,12,0,2,0,0,1,0,H
Hansa Rostock,Karlsruhe,9,12,5,5,6,3,12,10,3,2,0,0,0,2,A
Heidenheim,Paderborn,14,8,5,3,4,5,5,5,3,3,0,0,0,0,D
Werder Bremen,Hannover,9,13,3,4,7,5,13,12,1,1,0,0,0,0,D
Nurnberg,Erzgebirge Aue,19,6,3,3,7,1,8,17,0,3,0,0,0,0,D
Sandhausen,Fortuna Dusseldorf,10,18,4,7,9,6,6,13,0,2,0,0,0,0,A
St Pauli,Holstein Kiel,12,12,3,2,4,3,11,15,0,1,0,0,1,0,H
Karlsruhe,Darmstadt,18,5,5,2,5,1,5,16,1,3,0,0,1,0,H
Paderborn,Nurnberg,4,12,3,4,3,6,17,10,1,4,0,0,1,0,D
Hannover,Hansa Rostock,12,12,6,7,5,5,7,12,2,0,0,0,0,1,A
Ingolstadt,Heidenheim,18,12,4,3,4,4,9,18,1,1,0,0,0,0,A
Regensburg,Sandhausen,27,15,13,4,5,8,9,14,1,3,0,1,1,0,H
Fortuna Dusseldorf,Werder Bremen,15,16,6,7,3,5,13,8,4,3,0,0,0,1,A
Erzgebirge Aue,St Pauli,11,12,4,3,4,4,15,12,1,2,0,0,0,0,D
Hamburg,Dresden,17,7,8,3,8,3,10,11,4,2,0,0,1,0,D
Holstein Kiel,Schalke 04,21,10,4,5,8,3,10,12,3,3,0,0,0,2,A
Schalke 04,Erzgebirge Aue,14,10,3,5,3,1,14,16,1,2,0,0,1,0,D
St Pauli,Hamburg,15,9,4,2,3,3,9,12,2,3,0,0,1,1,H
Holstein Kiel,Regensburg,10,11,2,4,4,2,15,17,1,3,0,0,0,2,A
Nurnberg,Fortuna Dusseldorf,15,13,6,2,6,6,10,18,3,3,0,0,0,0,H
Sandhausen,Karlsruhe,9,9,3,3,3,4,15,8,3,1,0,0,0,0,D
Dresden,Hannover,13,14,6,2,4,6,9,11,2,3,0,0,0,0,H
Darmstadt,Ingolstadt,20,6,9,2,5,1,10,16,2,3,0,0,4,0,H
Heidenheim,Hansa Rostock,12,7,3,6,6,3,10,11,0,3,0,0,0,0,D
Werder Bremen,Paderborn,18,14,7,7,7,2,10,9,2,2,0,0,0,3,A
Fortuna Dusseldorf,Holstein Kiel,19,9,4,5,9,2,8,7,1,3,0,0,1,1,D
Hannover,Heidenheim,11,13,3,4,10,4,7,18,2,1,0,0,0,0,H
Karlsruhe,Werder Bremen,8,18,2,4,5,8,11,12,3,3,1,0,0,0,D
Paderborn,St Pauli,19,10,5,4,4,4,12,6,1,1,0,1,1,1,H
Regensburg,Schalke 04,16,15,6,4,8,2,11,10,2,1,0,0,1,0,H
Hansa Rostock,Dresden,14,15,4,9,8,3,8,19,2,4,0,0,1,1,A
Erzgebirge Aue,Sandhausen,17,14,7,6,5,7,6,14,1,2,0,0,0,0,A
Hamburg,Darmstadt,19,16,5,6,5,1,7,11,2,4,0,0,2,2,D
Ingolstadt,Nurnberg,14,13,3,6,7,7,19,9,4,2,0,0,0,0,D
Nurnberg,Karlsruhe,14,15,6,5,3,7,10,5,1,2,0,0,0,0,H
Sandhausen,Ingolstadt,12,10,2,5,4,4,8,9,2,3,0,0,0,1,A
Darmstadt,Hannover,14,10,7,3,4,9,11,10,1,2,0,0,2,0,H
Heidenheim,Hamburg,18,14,4,5,15,3,9,8,3,2,0,0,0,0,D
Holstein Kiel,Erzgebirge Aue,18,17,9,1,6,5,13,14,0,5,0,0,2,0,H
Schalke 04,Fortuna Dusseldorf,18,17,11,6,10,7,7,6,2,3,0,0,1,1,H
Dresden,Paderborn,14,10,8,5,6,1,9,10,2,2,1,0,0,3,A
St Pauli,Regensburg,22,8,5,3,11,4,4,8,1,2,0,0,0,0,H
Werder Bremen,Hansa Rostock,21,4,7,2,8,0,11,18,0,4,0,0,1,0,H
Hannover,St Pauli,14,9,5,3,6,5,15,10,3,3,0,0,1,0,H
Ingolstadt,Werder Bremen,11,18,2,8,4,5,9,4,1,2,0,0,0,2,A
Karlsruhe,Holstein Kiel,22,14,7,5,6,5,9,9,2,0,0,0,1,0,D
Hamburg,Sandhausen,25,9,9,3,15,3,4,10,0,4,0,1,0,0,H
Erzgebirge Aue,Fortuna Dusseldorf,15,18,4,4,5,7,9,13,2,2,0,0,0,1,A
Hansa Rostock,Darmstadt,13,12,5,5,7,4,11,16,2,4,0,0,1,0,H
Heidenheim,Dresden,21,14,6,2,10,6,11,4,2,1,0,0,1,0,H
Paderborn,Schalke 04,14,17,3,8,5,4,15,9,2,1,0,0,0,0,A
Regensburg,Nurnberg,15,14,6,5,5,3,12,16,4,3,0,1,1,1,D
Nurnberg,Hansa Rostock,10,15,4,4,6,4,9,16,0,4,0,0,0,0,H
Schalke 04,Karlsruhe,12,9,3,4,2,8,10,9,3,1,1,0,1,1,A
Fortuna Dusseldorf,Regensburg,15,8,5,2,3,3,18,15,1,4,0,0,1,1,D
Holstein Kiel,Hannover,8,17,3,4,3,4,5,16,0,1,1,0,0,3,A
Sandhausen,Heidenheim,9,17,2,7,6,7,6,7,1,0,0,0,0,2,A
Werder Bremen,Hamburg,19,5,4,4,5,3,16,15,7,4,1,1,0,2,A
Darmstadt,Dresden,13,9,5,3,3,6,12,18,2,6,1,1,1,0,H
Erzgebirge Aue,Paderborn,14,15,5,7,3,3,10,5,0,0,0,0,0,3,A
St Pauli,Ingolstadt,20,9,10,1,8,3,5,17,0,1,0,0,1,0,H
Heidenheim,Darmstadt,18,15,4,6,11,7,10,14,2,2,0,0,1,0,H
Regensburg,Erzgebirge Aue,17,14,7,6,6,3,7,21,1,4,0,0,2,0,H
Ingolstadt,Fortuna Dusseldorf,11,13,3,2,4,8,15,13,4,3,0,1,0,0,A
Karlsruhe,St Pauli,17,15,5,6,7,1,17,6,6,2,0,0,0,2,A
Paderborn,Holstein Kiel,12,22,5,6,3,11,11,9,5,2,1,0,1,0,A
Hansa Rostock,Schalke 04,14,14,3,6,3,5,13,17,3,2,0,0,0,1,A
Dresden,Werder Bremen,12,14,5,3,4,8,5,8,1,3,0,0,1,0,H
Hamburg,Nurnberg,16,8,6,3,12,3,12,9,3,2,0,0,1,1,D
Hannover,Sandhausen,18,10,7,4,4,3,11,19,3,2,0,0,0,0,A
Erzgebirge Aue,Hamburg,10,9,3,2,3,7,11,13,2,3,1,0,1,0,D
Werder Bremen,Heidenheim,11,9,4,3,9,2,9,8,0,0,0,0,0,0,H
Fortuna Dusseldorf,Paderborn,22,22,12,7,5,4,14,10,3,1,0,0,1,1,A
Holstein Kiel,Hansa Rostock,12,7,5,3,9,1,12,10,4,4,0,0,0,2,A
Regensburg,Karlsruhe,15,14,6,4,0,5,16,12,1,3,0,0,0,1,D
Nurnberg,Hannover,18,12,4,1,6,7,10,13,2,1,1,0,0,0,D
Sandhausen,Darmstadt,6,17,3,9,3,1,11,5,3,1,0,0,1,2,A
Schalke 04,Ingolstadt,11,9,5,0,3,1,7,7,1,1,0,0,1,0,H
St Pauli,Dresden,17,6,7,0,6,0,11,10,1,2,0,0,1,0,H
Hannover,Schalke 04,1,22,0,6,2,8,15,9,2,2,0,0,0,0,A
Paderborn,Regensburg,16,15,6,5,7,2,16,12,1,3,0,0,0,1,D
Heidenheim,St Pauli,10,11,4,7,3,7,12,10,3,2,0,0,1,0,A
Ingolstadt,Holstein Kiel,15,6,3,1,5,3,11,13,4,2,0,0,0,1,D
Karlsruhe,Erzgebirge Aue,11,13,3,4,3,5,11,22,1,4,1,0,0,0,H
