HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Bayern Munich,Hoffenheim,16,8,5,5,7,2,2,21,1,4,0,0,1,0,H
Fortuna Dusseldorf,Augsburg,9,14,5,7,7,5,11,10,1,0,0,0,1,0,A
Freiburg,Ein Frankfurt,22,10,6,2,6,4,7,12,1,2,0,0,0,1,A
Hertha,Nurnberg,10,12,3,3,8,4,13,10,2,2,0,0,1,0,H
M'gladbach,Leverkusen,17,13,7,3,9,5,10,10,1,2,0,0,0,0,H
Werder Bremen,Hannover,15,13,3,4,4,3,5,6,0,0,0,0,0,0,D
Wolfsburg,Schalke 04,11,9,7,4,7,2,16,11,5,3,0,1,1,0,H
Dortmund,RB Leipzig,10,10,5,7,7,9,8,11,2,2,0,0,3,1,H
Mainz,Stuttgart,8,12,3,3,6,3,15,6,1,2,0,0,0,0,H
Hannover,Dortmund,7,8,0,3,4,1,11,5,0,0,0,0,0,0,D
Augsburg,M'gladbach,18,7,7,2,9,4,12,12,1,2,0,0,1,0,D
Ein Frankfurt,Werder Bremen,5,11,1,6,8,3,6,11,1,2,1,0,0,1,A
Hoffenheim,Freiburg,20,9,7,4,6,4,13,14,1,2,0,0,0,1,H
Leverkusen,Wolfsburg,16,12,3,5,5,3,13,13,3,3,0,0,1,1,A
Nurnberg,Mainz,19,6,4,1,5,1,10,11,2,2,0,0,0,1,D
Stuttgart,Bayern Munich,4,20,0,6,0,12,3,5,0,0,0,0,0,1,A
RB Leipzig,Fortuna Dusseldorf,23,14,7,8,3,3,11,15,1,4,0,0,0,0,D
Schalke 04,Hertha,16,5,4,3,9,0,16,15,1,1,1,0,0,1,A
Dortmund,Ein Frankfurt,10,5,6,2,7,1,11,11,0,1,0,0,1,0,H
Bayern Munich,Leverkusen,18,3,5,1,9,1,4,12,0,1,0,1,2,1,H
Fortuna Dusseldorf,Hoffenheim,8,18,4,5,0,9,10,19,1,2,0,0,1,0,H
Mainz,Augsburg,22,13,7,4,5,4,9,16,1,2,0,0,0,0,H
M'gladbach,Schalke 04,15,15,4,6,6,6,5,12,0,4,0,0,1,0,H
RB Leipzig,Hannover,15,16,6,8,4,12,12,12,4,4,0,0,2,1,H
Wolfsburg,Hertha,15,9,6,5,7,2,10,13,1,2,0,0,0,0,D
Freiburg,Stuttgart,12,11,5,6,5,8,13,11,3,4,1,0,1,1,D
Werder Bremen,Nurnberg,14,11,2,2,4,7,17,5,2,0,0,0,1,0,D
Stuttgart,Fortuna Dusseldorf,10,19,1,7,2,9,8,19,0,2,0,0,0,0,D
Augsburg,Werder Bremen,21,12,7,7,7,4,10,11,2,2,0,0,1,2,A
Hertha,M'gladbach,16,17,7,4,8,7,9,13,2,2,0,0,2,1,H
Hoffenheim,Dortmund,17,8,5,2,4,4,12,10,2,1,0,1,1,0,D
Nurnberg,Hannover,14,9,6,3,9,3,16,7,3,1,0,1,0,0,H
Schalke 04,Bayern Munich,10,14,2,7,0,8,12,11,2,1,0,0,0,1,A
Wolfsburg,Freiburg,17,12,9,8,7,7,12,17,0,3,0,0,0,2,A
Ein Frankfurt,RB Leipzig,8,9,5,2,4,2,14,8,1,1,0,0,1,0,D
Leverkusen,Mainz,18,12,5,5,7,4,12,13,2,2,0,0,0,0,H
Bayern Munich,Augsburg,16,12,8,4,8,4,6,15,3,2,0,0,0,0,D
Freiburg,Schalke 04,15,15,4,3,3,3,12,11,2,4,0,0,0,0,H
Hannover,Hoffenheim,17,17,8,9,8,5,12,13,2,2,0,0,0,1,A
Werder Bremen,Hertha,14,12,6,2,2,3,13,9,1,3,0,0,2,0,H
Dortmund,Nurnberg,19,4,10,1,4,5,6,10,0,2,0,0,2,0,H
Fortuna Dusseldorf,Leverkusen,16,6,4,3,7,5,6,12,2,2,0,0,0,0,A
Mainz,Wolfsburg,11,12,2,4,5,11,13,15,1,2,0,0,0,0,D
M'gladbach,Ein Frankfurt,21,12,9,2,9,6,7,11,0,0,0,0,0,0,H
RB Leipzig,Stuttgart,18,9,8,0,4,2,11,8,2,3,0,0,1,0,H
Hertha,Bayern Munich,6,25,4,5,1,14,14,10,3,1,0,0,2,0,H
Hoffenheim,RB Leipzig,13,18,6,7,4,8,4,14,1,3,0,0,0,0,A
Leverkusen,Dortmund,14,16,6,10,6,8,11,12,1,1,0,0,2,0,A
Nurnberg,Fortuna Dusseldorf,10,13,6,4,4,4,10,9,0,2,0,0,1,0,H
Schalke 04,Mainz,15,15,2,5,4,5,22,21,2,2,0,0,1,0,H
Stuttgart,Werder Bremen,18,14,5,3,6,8,15,14,3,4,0,1,1,0,H
Wolfsburg,M'gladbach,13,10,3,3,6,3,6,14,2,2,0,0,1,1,D
Augsburg,Freiburg,21,13,10,6,5,3,12,8,0,1,0,0,2,0,H
Ein Frankfurt,Hannover,15,4,7,1,3,4,16,11,1,2,0,0,2,0,H
Werder Bremen,Wolfsburg,15,10,5,4,7,5,12,13,1,2,0,0,1,0,H
Bayern Munich,M'gladbach,14,7,3,3,1,3,7,4,2,2,0,0,0,2,A
Dortmund,Augsburg,20,12,8,6,9,6,5,29,1,7,0,0,0,1,H
Fortuna Dusseldorf,Schalke 04,9,15,3,5,4,6,17,15,3,1,0,0,0,0,A
Hannover,Stuttgart,15,11,6,5,5,7,16,11,1,2,0,0,2,0,H
Mainz,Hertha,23,11,3,1,5,6,12,9,0,2,0,0,0,0,D
Freiburg,Leverkusen,7,14,1,0,3,4,11,12,3,1,0,0,0,0,D
Hoffenheim,Ein Frankfurt,20,6,4,4,6,0,15,16,2,4,0,1,0,1,A
RB Leipzig,Nurnberg,18,3,8,0,6,1,11,12,0,1,0,1,4,0,H
Ein Frankfurt,Fortuna Dusseldorf,21,10,13,5,5,1,13,12,0,2,0,0,3,0,H
Augsburg,RB Leipzig,6,15,0,3,2,2,20,24,2,5,0,0,0,0,D
Leverkusen,Hannover,19,9,7,7,9,5,14,18,1,5,0,1,1,1,D
Nurnberg,Hoffenheim,7,20,2,12,1,7,8,9,4,2,0,0,1,0,A
Schalke 04,Werder Bremen,14,8,4,3,3,1,13,9,1,4,0,0,0,1,A
Stuttgart,Dortmund,13,12,5,4,10,2,7,5,0,0,0,0,0,3,A
Wolfsburg,Bayern Munich,8,13,1,11,2,9,9,12,2,4,0,1,0,1,A
Hertha,Freiburg,13,8,5,3,8,3,12,14,2,0,0,0,1,1,D
M'gladbach,Mainz,16,13,8,4,4,6,4,10,0,2,0,0,1,0,H
Freiburg,M'gladbach,13,11,7,2,3,10,9,12,1,1,0,0,1,1,H
Dortmund,Hertha,19,10,5,4,8,2,7,15,2,3,0,0,1,1,D
Fortuna Dusseldorf,Wolfsburg,8,18,1,6,4,9,12,11,3,6,0,0,0,1,A
Hannover,Augsburg,17,9,4,4,5,4,15,16,2,3,0,0,0,1,A
Hoffenheim,Stuttgart,22,6,10,0,6,3,11,9,1,1,0,1,0,0,H
Mainz,Bayern Munich,6,21,1,5,2,7,13,6,3,1,0,0,0,1,A
Nurnberg,Ein Frankfurt,10,10,3,2,8,6,11,13,2,3,0,0,0,0,D
RB Leipzig,Schalke 04,15,6,2,0,7,4,11,13,3,2,0,0,0,0,D
Werder Bremen,Leverkusen,14,17,6,10,6,6,9,8,2,2,0,0,0,3,A
Stuttgart,Ein Frankfurt,10,15,0,7,1,3,4,10,1,2,0,0,0,2,A
Augsburg,Nurnberg,17,13,4,5,6,6,16,11,3,3,0,0,1,0,D
Bayern Munich,Freiburg,24,10,6,1,14,2,9,8,1,1,0,0,0,0,D
Hertha,RB Leipzig,12,25,5,11,3,7,6,11,2,1,0,0,0,1,A
Leverkusen,Hoffenheim,21,10,9,4,6,7,6,17,0,2,0,0,1,2,A
Schalke 04,Hannover,16,20,6,6,7,7,10,10,2,3,0,0,0,0,H
