HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Chievo,Juventus,7,23,2,11,0,8,7,9,2,0,0,0,1,1,A
Lazio,Napoli,9,11,5,6,4,7,8,5,0,0,0,0,1,1,A
Bologna,Spal,8,10,3,5,7,0,16,11,4,2,1,0,0,0,A
Empoli,Cagliari,9,12,4,5,6,6,19,19,3,3,0,0,1,0,H
Parma,Udinese,9,16,6,6,4,5,10,13,2,2,0,0,1,0,D
Sassuolo,Inter,7,11,5,4,4,4,23,11,3,2,0,0,1,0,H
Torino,Roma,8,16,5,13,6,5,10,14,1,3,0,0,0,0,A
Atalanta,Frosinone,16,6,10,1,4,4,14,10,0,2,0,0,1,0,H
Juventus,Lazio,14,8,9,3,6,2,12,13,3,2,0,0,1,0,H
Napoli,Milan,21,6,13,4,5,1,12,9,2,2,0,0,0,1,H
Cagliari,Sassuolo,12,12,7,6,7,2,14,14,4,4,0,1,1,0,D
Fiorentina,Chievo,19,5,15,3,2,3,14,8,1,3,0,0,2,0,H
Frosinone,Bologna,11,10,7,5,2,5,15,12,2,1,0,0,0,0,D
Genoa,Empoli,10,12,4,8,3,6,14,15,3,2,0,0,2,0,H
Inter,Torino,9,10,6,7,5,4,16,12,1,2,0,0,2,0,D
Spal,Parma,15,3,5,0,7,2,13,14,5,2,0,0,0,0,H
Udinese,Sampdoria,13,9,5,4,8,7,6,10,1,3,0,0,1,0,H
Roma,Atalanta,21,17,11,10,3,11,9,13,1,1,0,0,1,3,D
Milan,Roma,18,6,9,3,8,3,8,6,0,2,0,0,1,0,H
Bologna,Inter,7,10,1,4,3,7,7,10,1,1,0,0,0,0,A
Parma,Juventus,8,20,7,10,4,7,15,9,1,3,0,0,1,1,A
Atalanta,Cagliari,8,4,5,3,5,4,16,20,2,2,0,0,0,1,A
Chievo,Empoli,11,12,5,4,4,6,10,11,1,1,0,0,0,0,D
Fiorentina,Udinese,13,4,4,1,11,4,10,15,3,1,0,0,0,0,H
Lazio,Frosinone,17,7,8,5,7,7,11,8,1,2,0,0,0,0,H
Sampdoria,Napoli,7,12,4,6,4,5,13,19,2,4,0,0,2,0,H
Sassuolo,Genoa,10,11,8,8,2,10,12,20,3,3,0,0,4,1,H
Torino,Spal,10,8,7,3,9,10,16,16,1,2,0,0,0,0,H
Frosinone,Sampdoria,6,10,2,7,5,3,12,15,3,1,0,0,0,1,A
Inter,Parma,24,8,11,6,10,1,10,8,2,2,0,0,0,0,A
Napoli,Fiorentina,19,7,5,3,10,3,13,15,1,4,0,0,0,0,H
Cagliari,Milan,7,12,3,7,3,8,12,13,1,1,0,0,1,0,D
Empoli,Lazio,10,16,3,9,4,7,13,11,2,3,0,0,0,0,A
Genoa,Bologna,10,8,5,2,5,3,13,19,2,5,0,1,0,0,H
Juventus,Sassuolo,16,10,6,6,10,4,12,13,3,3,1,0,0,0,H
Roma,Chievo,15,10,9,5,9,2,10,15,1,1,0,0,2,0,D
Udinese,Torino,7,9,3,4,3,8,16,14,2,2,0,0,1,0,D
Spal,Atalanta,13,13,6,4,4,4,14,16,3,5,0,0,0,0,H
Sampdoria,Fiorentina,8,14,4,9,4,6,14,15,3,2,0,0,0,1,D
Sassuolo,Empoli,20,16,10,11,5,4,15,9,1,4,0,1,1,1,H
Fiorentina,Spal,15,5,5,2,11,1,8,11,1,2,0,0,2,0,H
