HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Betis,Levante,22,6,8,4,5,3,10,10,0,2,0,0,0,1,A
Girona,Valladolid,13,2,1,1,3,2,21,20,1,1,0,0,0,0,D
Barcelona,Alaves,25,3,9,0,7,1,6,13,0,2,0,0,0,0,H
Celta,Espanol,12,14,2,5,8,7,13,14,3,2,0,0,0,1,D
Villarreal,Sociedad,16,8,7,4,4,6,16,10,2,3,0,0,1,1,A
Eibar,Huesca,18,8,6,6,7,0,12,13,1,1,0,0,0,2,A
Real Madrid,Getafe,10,4,3,1,3,0,11,27,1,7,0,0,1,0,H
Vallecano,Sevilla,13,17,2,8,2,6,6,15,1,0,0,0,0,3,A
Ath Bilbao,Leganes,17,12,5,2,6,2,12,13,4,5,0,0,1,1,H
Valencia,Ath Madrid,13,9,4,3,4,10,10,15,2,3,0,0,0,1,D
Getafe,Eibar,7,9,4,0,5,5,14,11,2,1,0,0,1,0,H
Leganes,Sociedad,18,7,5,6,5,0,12,9,1,2,0,0,0,2,D
Alaves,Betis,16,13,4,5,5,6,17,15,3,1,0,0,0,0,D
Ath Madrid,Vallecano,9,13,2,3,8,5,7,8,1,1,0,0,0,0,H
Valladolid,Barcelona,7,10,4,5,6,10,13,11,1,1,0,0,0,0,A
Espanol,Valencia,19,16,9,4,6,10,16,12,1,1,0,0,0,0,H
Girona,Real Madrid,10,20,5,8,4,7,13,11,2,3,0,0,1,1,A
Sevilla,Villarreal,19,14,2,6,4,5,13,14,3,2,0,0,0,0,D
Ath Bilbao,Huesca,14,9,4,4,3,2,17,17,2,2,0,0,0,0,D
Levante,Celta,15,21,6,9,7,7,14,8,2,3,0,0,0,2,A
Eibar,Sociedad,8,7,2,2,4,2,18,15,3,2,0,0,1,1,H
Getafe,Valladolid,12,7,3,4,6,7,22,14,3,1,0,0,0,0,D
Villarreal,Girona,13,14,3,6,7,2,15,11,3,2,0,0,0,0,A
Celta,Ath Madrid,10,9,4,0,2,8,12,14,4,5,0,1,0,0,H
Real Madrid,Leganes,17,8,8,3,8,1,11,11,1,1,0,0,1,1,H
Alaves,Espanol,8,11,5,7,0,12,19,13,4,3,0,0,0,1,H
Barcelona,Huesca,31,7,15,3,9,4,6,12,1,2,0,0,3,2,H
Betis,Sevilla,11,8,3,2,5,8,15,17,3,6,0,1,0,0,H
Levante,Valencia,13,18,4,5,3,5,14,10,4,2,1,0,2,1,D
Huesca,Vallecano,14,14,4,2,6,3,16,18,2,1,0,0,0,1,A
Ath Bilbao,Real Madrid,11,16,3,6,1,2,18,6,6,2,0,0,1,0,D
Ath Madrid,Eibar,18,12,9,3,14,3,5,21,2,2,0,0,0,0,D
Sociedad,Barcelona,8,12,5,6,1,6,18,8,1,1,0,0,1,0,A
Valencia,Betis,12,11,2,6,5,4,22,9,6,3,0,0,0,0,D
Espanol,Levante,22,16,9,4,5,4,17,13,1,2,0,0,0,0,H
Leganes,Villarreal,16,9,3,3,6,1,16,9,4,3,0,0,0,0,A
Sevilla,Getafe,15,10,1,5,7,1,10,22,3,6,0,0,0,2,A
Valladolid,Alaves,15,10,5,4,7,2,9,12,3,2,0,0,0,0,A
Girona,Celta,11,20,6,7,3,1,15,11,1,3,0,1,2,1,H
Huesca,Sociedad,13,7,3,1,7,5,16,12,5,3,0,2,0,0,A
Celta,Valladolid,12,14,5,4,7,8,9,11,2,2,0,0,2,1,D
Eibar,Leganes,14,4,3,2,5,2,16,17,1,1,0,0,0,0,H
