HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Ath Bilbao,Barcelona,11,11,5,2,3,8,14,9,1,1,0,0,0,0,H
Celta,Real Madrid,7,17,4,11,6,4,17,12,5,2,0,1,0,1,A
Valencia,Sociedad,14,12,6,3,3,3,13,14,4,4,1,0,0,0,D
Mallorca,Eibar,16,11,4,5,9,3,13,14,2,3,0,0,1,0,H
Leganes,Osasuna,13,4,2,2,8,0,17,11,1,4,1,0,0,0,A
Villarreal,Granada,12,14,7,7,2,7,10,16,3,1,0,0,1,1,D
Alaves,Levante,9,16,2,4,2,9,18,15,2,1,0,0,0,0,H
Espanol,Sevilla,7,12,2,4,8,4,11,17,2,2,0,0,0,1,A
Betis,Valladolid,13,14,4,3,6,1,11,19,2,6,1,0,0,0,A
Ath Madrid,Getafe,5,6,5,0,3,4,19,22,3,4,1,1,1,0,H
Granada,Sevilla,12,11,0,6,6,6,13,14,1,1,0,0,0,0,A
Levante,Villarreal,16,23,4,6,7,3,5,9,1,2,0,0,0,1,H
Osasuna,Eibar,6,12,2,0,6,6,15,12,4,4,0,0,0,0,D
Real Madrid,Valladolid,22,9,4,2,4,3,12,11,2,2,0,0,0,0,D
Celta,Valencia,11,9,6,1,6,4,8,12,1,2,0,0,1,0,H
Getafe,Ath Bilbao,6,4,2,2,4,6,15,11,2,1,0,0,1,1,D
Alaves,Espanol,10,5,2,1,3,5,13,10,3,1,0,0,0,0,D
Mallorca,Sociedad,12,12,4,4,5,5,16,12,1,2,0,0,0,0,A
Leganes,Ath Madrid,10,6,4,4,9,4,12,13,4,5,0,0,0,0,A
Barcelona,Betis,20,4,7,3,11,0,14,12,1,1,0,0,1,1,H
Sevilla,Celta,19,2,5,1,9,1,16,9,4,2,0,0,0,0,D
Ath Bilbao,Sociedad,15,2,5,2,3,0,17,17,2,3,0,0,2,0,H
Osasuna,Barcelona,15,8,5,4,3,2,16,9,3,4,0,0,1,0,D
Getafe,Alaves,15,5,1,1,4,2,11,17,3,1,0,0,1,1,D
Levante,Valladolid,16,15,3,4,6,6,9,10,2,2,0,0,0,0,H
Betis,Leganes,17,19,5,7,11,8,14,15,4,2,0,0,0,0,H
